,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
2848,Angelina Maillot,Paris,"['French', 'Cafe', 'European', 'Vegetarian Friendly']",2849,4,$$ - $$$,331,"[['Iconic establishment', 'MONT-BLANC'], ['10/02/2017', '09/05/2017']]",/Restaurant_Review-g187147-d812366-Reviews-Angelina_Maillot-Paris_Ile_de_France.html,d812366
2849,Dixit,Paris,"['French', 'International', 'Vegetarian Friendly']",2850,5,$$ - $$$,18,"[['Very good, very nice people, very trendy'], ['12/15/2017']]",/Restaurant_Review-g187147-d12664128-Reviews-Dixit-Paris_Ile_de_France.html,d12664128
2850,Chez Margot,Paris,"['French', 'European', 'Gastropub']",2851,4,$$ - $$$,248,"[['Pouring rainy night in Paris - haven in a...', 'Great service'], ['11/18/2017', '09/06/2017']]",/Restaurant_Review-g187147-d1938733-Reviews-Chez_Margot-Paris_Ile_de_France.html,d1938733
2851,La Maison Austerlitz,Paris,"['Grill', 'French', 'Brew Pub', 'Pub']",2852,4.5,$$ - $$$,69,"[['Nice place', 'Superb burgers'], ['08/29/2016', '10/31/2015']]",/Restaurant_Review-g187147-d8106992-Reviews-La_Maison_Austerlitz-Paris_Ile_de_France.html,d8106992
2852,Quatre amis,Paris,"['Chinese', 'Asian']",2853,4,$,77,"[['Amazing food', 'Delightful'], ['08/10/2017', '07/25/2017']]",/Restaurant_Review-g187147-d3331208-Reviews-Quatre_amis-Paris_Ile_de_France.html,d3331208
2853,Da Zagara,Paris,"['Italian', 'Mediterranean', 'European']",2854,4.5,$$ - $$$,103,"[['Calm terrace', 'Excellent meal'], ['09/24/2017', '04/19/2017']]",/Restaurant_Review-g187147-d3681860-Reviews-Da_Zagara-Paris_Ile_de_France.html,d3681860
2854,Chez Celeste,Paris,"['African', 'European', 'Portuguese']",2855,4,$$ - $$$,108,"[['Cap Vert and Portuguese cuisine', 'Cape Verdean Food & Portuguese Music'], ['01/03/2018', '06/23/2017']]",/Restaurant_Review-g187147-d3403603-Reviews-Chez_Celeste-Paris_Ile_de_France.html,d3403603
2855,La Cremerie,Paris,"['French', 'Wine Bar']",2856,4,$$ - $$$,109,"[['Lovely wine bar with vins naturels', 'For a change of pace, try this local wine...'], ['01/14/2017', '01/03/2018']]",/Restaurant_Review-g187147-d2004784-Reviews-La_Cremerie-Paris_Ile_de_France.html,d2004784
2856,Maca'Rong,Paris,,2857,5,,72,"[['Excellent Macarons', 'Hidden Gem'], ['10/30/2017', '02/19/2017']]",/Restaurant_Review-g187147-d7741225-Reviews-Maca_Rong-Paris_Ile_de_France.html,d7741225
2857,Les Cent Kilos,Paris,"['French', 'Bar', 'European', 'Pub']",2858,4,$$ - $$$,71,"[['Great but !!!', 'Surprisingly good'], ['01/12/2017', '05/01/2017']]",/Restaurant_Review-g187147-d8589841-Reviews-Les_Cent_Kilos-Paris_Ile_de_France.html,d8589841
2858,Cafe di Roma,Paris,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options']",2859,3.5,$$ - $$$,760,"[['Terrible service but great lasagna', 'Italian night in Paris'], ['11/09/2017', '11/09/2017']]",/Restaurant_Review-g187147-d1109757-Reviews-Cafe_di_Roma-Paris_Ile_de_France.html,d1109757
2859,Le Bon Jour,Paris,['French'],2860,4,$$ - $$$,61,"[['Typical French Resturant', 'Excellent 30th Birthday Dinner'], ['08/28/2017', '07/26/2017']]",/Restaurant_Review-g187147-d10525963-Reviews-Le_Bon_Jour-Paris_Ile_de_France.html,d10525963
2860,Le Franc Tireur,Paris,"['French', 'European', 'Vegetarian Friendly']",2861,4,$$ - $$$,211,"[['Nice atmosphere and really good service', 'great food/ good prices'], ['10/11/2017', '04/20/2017']]",/Restaurant_Review-g187147-d2484525-Reviews-Le_Franc_Tireur-Paris_Ile_de_France.html,d2484525
2861,La Divina Commedia,Paris,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",2862,4.5,$$ - $$$,209,"[['Italian Delight in Paris', 'Excellent Italian Food Dinner Near Saint G...'], ['12/26/2017', '12/06/2017']]",/Restaurant_Review-g187147-d2175063-Reviews-La_Divina_Commedia-Paris_Ile_de_France.html,d2175063
2862,Il Ristretto,Paris,"['Italian', 'Mediterranean', 'European']",2863,4.5,$$ - $$$,38,"[['Small Place with Genuine Italian Food', 'Great place, nice food'], ['01/08/2018', '12/24/2017']]",/Restaurant_Review-g187147-d8685124-Reviews-Il_Ristretto-Paris_Ile_de_France.html,d8685124
2863,Pere Fecto,Paris,"['French', 'Italian']",2864,4.5,$,48,"[['Excellent', 'Understated but Amazing Food and Service'], ['10/29/2015', '10/23/2015']]",/Restaurant_Review-g187147-d6757948-Reviews-Pere_Fecto-Paris_Ile_de_France.html,d6757948
2864,Bistrot Pop,Paris,"['French', 'European', 'Vegetarian Friendly']",2865,4,$$ - $$$,57,"[['Friendly Bistro with Delicious Food', 'Great staff great atmosphere!'], ['12/09/2017', '11/08/2017']]",/Restaurant_Review-g187147-d4272002-Reviews-Bistrot_Pop-Paris_Ile_de_France.html,d4272002
2865,Madame Mozarella,Paris,,2866,5,,17,"[['Delicious pizza!'], ['07/20/2017']]",/Restaurant_Review-g187147-d11151901-Reviews-Madame_Mozarella-Paris_Ile_de_France.html,d11151901
2866,Homard & Chips,Paris,,2867,4.5,,45,"[['Good Price; Lobster Just OK'], ['10/16/2017']]",/Restaurant_Review-g187147-d12374389-Reviews-Homard_Chips-Paris_Ile_de_France.html,d12374389
2867,Borneo a Paris,Paris,"['Asian', 'Indonesian', 'Vegetarian Friendly']",2868,4.5,$$ - $$$,33,"[['authentic indonesian food taste!', 'Affordable, nice atmosphere, and Gado-Gado...'], ['09/17/2017', '07/21/2017']]",/Restaurant_Review-g187147-d12234636-Reviews-Borneo_a_Paris-Paris_Ile_de_France.html,d12234636
2868,La Bonne Chaise,Paris,['French'],2869,4,$$ - $$$,129,"[['Good food', 'Great food for a great price'], ['06/07/2017', '06/15/2016']]",/Restaurant_Review-g187147-d2614744-Reviews-La_Bonne_Chaise-Paris_Ile_de_France.html,d2614744
2869,LA PLANQUE,Paris,['French'],2870,4,$$ - $$$,94,"[['Nice Restaurant', 'nice lemonade'], ['05/24/2016', '01/08/2016']]",/Restaurant_Review-g187147-d6637444-Reviews-LA_PLANQUE-Paris_Ile_de_France.html,d6637444
2870,L'Aligot,Paris,,2871,4.5,,19,"[['Excellent!'], ['09/19/2017']]",/Restaurant_Review-g187147-d12610395-Reviews-L_Aligot-Paris_Ile_de_France.html,d12610395
2871,Le Louvre Ripaille,Paris,"['French', 'European']",2872,4.5,$$ - $$$,209,"[['Good French Restaurant near Louvre', 'Fantastic lunch close to Louvre Museum'], ['09/11/2017', '06/07/2017']]",/Restaurant_Review-g187147-d813442-Reviews-Le_Louvre_Ripaille-Paris_Ile_de_France.html,d813442
2872,Le Dit Vin,Paris,"['French', 'European', 'Wine Bar']",2873,4.5,$$ - $$$,64,"[['Our favorite find in Paris', 'Second time and upped rating'], ['03/10/2017', '03/10/2017']]",/Restaurant_Review-g187147-d3237450-Reviews-Le_Dit_Vin-Paris_Ile_de_France.html,d3237450
2873,Le Comptoir de L'Artoise,Paris,"['French', 'European', 'Vegetarian Friendly']",2874,4,$$ - $$$,147,"[['Great little find', 'Delightful!'], ['01/02/2018', '11/12/2017']]",/Restaurant_Review-g187147-d2057418-Reviews-Le_Comptoir_de_L_Artoise-Paris_Ile_de_France.html,d2057418
2874,Restaurant Lumen,Paris,"['Japanese', 'Italian', 'French', 'Fusion', 'Vegetarian Friendly']",2875,4,$$ - $$$,292,"[['Perfect spot for our first night in Paris', 'Fantastically mouth-watering dishes'], ['07/03/2017', '03/11/2017']]",/Restaurant_Review-g187147-d2249233-Reviews-Restaurant_Lumen-Paris_Ile_de_France.html,d2249233
2875,Gros,Paris,['French'],2876,4,$$ - $$$,86,"[['Superb', 'Simply Amazing'], ['10/03/2017', '07/25/2017']]",/Restaurant_Review-g187147-d8537511-Reviews-Gros-Paris_Ile_de_France.html,d8537511
2876,Pasdeloup,Paris,"['French', 'European', 'Spanish']",2877,4.5,$$ - $$$,94,"[['Amazing meal and wonderful service', 'Cosy design bar with smart cocktails'], ['12/26/2017', '10/15/2017']]",/Restaurant_Review-g187147-d7690587-Reviews-Pasdeloup-Paris_Ile_de_France.html,d7690587
2877,Kim & Kim,Paris,"['Asian', 'Korean', 'Vegetarian Friendly']",2878,4,$,72,"[['Korean restaurant', 'Great simple Korean restaurant'], ['10/12/2016', '01/16/2016']]",/Restaurant_Review-g187147-d1030614-Reviews-Kim_Kim-Paris_Ile_de_France.html,d1030614
2878,Who's Bar,Paris,['European'],2879,4,$$ - $$$,408,"[['Fabulous brunch in a funky fun restaurant', 'Great burger'], ['05/29/2017', '02/26/2017']]",/Restaurant_Review-g187147-d2430668-Reviews-Who_s_Bar-Paris_Ile_de_France.html,d2430668
2879,My Little Cellar,Paris,['Wine Bar'],2880,5,$$ - $$$,17,"[['Brilliant'], ['06/25/2017']]",/Restaurant_Review-g187147-d12523245-Reviews-My_Little_Cellar-Paris_Ile_de_France.html,d12523245
2880,7 Au Marais,Paris,"['International', 'Delicatessen', 'Contemporary', 'Healthy', 'Vegetarian Friendly']",2881,5,$$ - $$$,24,"[['Great brunch', 'Such a unique place with amazing service'], ['09/24/2017', '04/23/2017']]",/Restaurant_Review-g187147-d10824898-Reviews-7_Au_Marais-Paris_Ile_de_France.html,d10824898
2881,Rice Trotters,Paris,['Vegetarian Friendly'],2882,4.5,$,52,"[['There was a hair in my rice...', 'Fresh and healthy and cheap'], ['03/05/2017', '07/11/2016']]",/Restaurant_Review-g187147-d8007608-Reviews-Rice_Trotters-Paris_Ile_de_France.html,d8007608
2882,Loyal Cafe Cantine,Paris,"['French', 'Healthy', 'Vegetarian Friendly', 'Gluten Free Options']",2883,4.5,$$ - $$$,33,"[['Everything great !', 'Great coffee, great people, English speaki...'], ['01/08/2018', '11/11/2017']]",/Restaurant_Review-g187147-d12171530-Reviews-Loyal_Cafe_Cantine-Paris_Ile_de_France.html,d12171530
2883,Le Mezze Du Chef Cig Kofte,Paris,"['Turkish', 'Vegetarian Friendly', 'Gluten Free Options']",2884,4.5,$,47,"[['Full vegeterian & vegan', 'super!'], ['12/29/2017', '09/04/2017']]",/Restaurant_Review-g187147-d9726237-Reviews-Le_Mezze_Du_Chef_Cig_Kofte-Paris_Ile_de_France.html,d9726237
2884,Le Stendhal - Bistrot,Paris,['French'],2885,4.5,$,73,"[['Le stendhal 30', 'Great food!!'], ['12/08/2017', '07/28/2017']]",/Restaurant_Review-g187147-d3898107-Reviews-Le_Stendhal_Bistrot-Paris_Ile_de_France.html,d3898107
2885,Pret a manger,Paris,"['European', 'Vegetarian Friendly', 'Vegan Options']",2886,4.5,$,85,"[['Great Location Great Service', 'Perfect place to visit within a budget and...'], ['10/02/2017', '04/30/2017']]",/Restaurant_Review-g187147-d4475098-Reviews-Pret_a_manger-Paris_Ile_de_France.html,d4475098
2886,Maison Tete Paris Cadet,Paris,['French'],2887,5,$,27,"[['Genuine and exquisite taste of Gascogne', 'Real local tastes'], ['10/21/2017', '09/30/2017']]",/Restaurant_Review-g187147-d9776431-Reviews-Maison_Tete_Paris_Cadet-Paris_Ile_de_France.html,d9776431
2887,Nirvana Dream,Paris,"['Indian', 'Soups', 'Tibetan', 'Nepali', 'Vegetarian Friendly']",2888,4.5,$$ - $$$,37,"[['Excellent food, service and ambience', 'Delicious Nepalese gastronomy!!!'], ['05/28/2017', '05/23/2017']]",/Restaurant_Review-g187147-d10047679-Reviews-Nirvana_Dream-Paris_Ile_de_France.html,d10047679
2888,Oenosteria,Paris,"['Italian', 'European', 'Mediterranean']",2889,4,$$ - $$$,97,"[['Seems authentic to me', 'Fantastic!'], ['07/31/2017', '11/23/2017']]",/Restaurant_Review-g187147-d3686937-Reviews-Oenosteria-Paris_Ile_de_France.html,d3686937
2889,Les Canailles Menilmontant,Paris,['French'],2890,5,$$ - $$$,16,"[['delicious', 'Authentic French dinner'], ['12/29/2017', '11/13/2017']]",/Restaurant_Review-g187147-d12933045-Reviews-Les_Canailles_Menilmontant-Paris_Ile_de_France.html,d12933045
2890,Sushiko,Paris,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly']",2891,4.5,$$ - $$$,75,"[['salmon!!', 'Good choice.'], ['11/24/2017', '09/27/2017']]",/Restaurant_Review-g187147-d1171388-Reviews-Sushiko-Paris_Ile_de_France.html,d1171388
2891,Fitzgerald,Paris,"['French', 'European']",2892,4,$$ - $$$,89,"[['Cocktails  before dinner', 'We enjoyed'], ['05/27/2017', '04/02/2017']]",/Restaurant_Review-g187147-d10192695-Reviews-Fitzgerald-Paris_Ile_de_France.html,d10192695
2892,Le Petit Capucci,Paris,['Italian'],2893,5,$,32,"[['Delicious!', 'Just the best'], ['02/21/2017', '11/09/2016']]",/Restaurant_Review-g187147-d8790674-Reviews-Le_Petit_Capucci-Paris_Ile_de_France.html,d8790674
2893,La Mauvaise Reputation,Paris,"['French', 'European', 'Vegetarian Friendly']",2894,4.5,$$ - $$$,143,"[['WOW , lovely Food', 'Nice find'], ['10/24/2016', '09/18/2016']]",/Restaurant_Review-g187147-d3508391-Reviews-La_Mauvaise_Reputation-Paris_Ile_de_France.html,d3508391
2894,A la Tete d'Or,Paris,"['French', 'European']",2895,4,$$ - $$$,164,"[['Good Food', 'Top quality beef'], ['06/05/2017', '06/03/2017']]",/Restaurant_Review-g187147-d1603563-Reviews-A_la_Tete_d_Or-Paris_Ile_de_France.html,d1603563
2895,Le Lhassa,Paris,"['Asian', 'Tibetan', 'Vegetarian Friendly', 'Vegan Options']",2896,4,$$ - $$$,153,"[['very nice', 'Food adequate, good portions, unusual dini...'], ['03/30/2017', '10/09/2017']]",/Restaurant_Review-g187147-d795910-Reviews-Le_Lhassa-Paris_Ile_de_France.html,d795910
2896,Les Agapes,Paris,"['French', 'European']",2897,4.5,$$ - $$$,81,"[['Good food and atmosphere', 'Genuine Bristrot Porte de Saint Cloud'], ['09/17/2017', '09/15/2017']]",/Restaurant_Review-g187147-d3640249-Reviews-Les_Agapes-Paris_Ile_de_France.html,d3640249
2897,Marcel,Paris,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",2898,3.5,$$ - $$$,450,"[['Particular experience', 'Cozy place at an affordable price'], ['07/01/2017', '06/28/2017']]",/Restaurant_Review-g187147-d2249560-Reviews-Marcel-Paris_Ile_de_France.html,d2249560
2898,Les Argentiers,Paris,['French'],2899,4.5,$$ - $$$,54,"[['Great staff, great food - highly recommend...', 'Perfect eneving meal'], ['11/06/2017', '05/17/2017']]",/Restaurant_Review-g187147-d4457474-Reviews-Les_Argentiers-Paris_Ile_de_France.html,d4457474
2899,Domaine de Lintillac,Paris,"['French', 'European']",2900,4.5,$$ - $$$,118,"[['Cassoulet & foie gras in the SE 7th', 'Very Traditional/Regional'], ['11/26/2017', '10/14/2017']]",/Restaurant_Review-g187147-d715053-Reviews-Domaine_de_Lintillac-Paris_Ile_de_France.html,d715053
2900,il giramondo,Paris,"['Italian', 'European', 'Mediterranean']",2901,4.5,$$ - $$$,104,"[['Delicious food, great service', 'More a traiteur than a restaurant, but wha...'], ['10/29/2016', '09/03/2016']]",/Restaurant_Review-g187147-d815064-Reviews-Il_giramondo-Paris_Ile_de_France.html,d815064
2901,Napoletano,Paris,"['Italian', 'European', 'Pizza', 'Vegetarian Friendly']",2902,4,$$ - $$$,158,"[['Best Pizza Ever (Thick Dough)', 'Excellent crowded local place. Amazing piz...'], ['08/24/2017', '02/03/2017']]",/Restaurant_Review-g187147-d2333047-Reviews-Napoletano-Paris_Ile_de_France.html,d2333047
2902,TonTon Jaures,Paris,"['French', 'Bar', 'Pub']",2903,4,$$ - $$$,216,"[['Good food, but terrible Service', 'Good food nice place'], ['08/17/2017', '08/12/2016']]",/Restaurant_Review-g187147-d4786708-Reviews-TonTon_Jaures-Paris_Ile_de_France.html,d4786708
2903,La Bascule,Paris,"['French', 'European', 'Wine Bar']",2904,4.5,$$ - $$$,100,"[['Very cool place', 'Local pub with brilliant food'], ['12/04/2017', '11/26/2017']]",/Restaurant_Review-g187147-d3215707-Reviews-La_Bascule-Paris_Ile_de_France.html,d3215707
2904,Cot Cot,Paris,,2905,4.5,,35,"[['quality fried chicken', 'Deliciousness, pure and simple'], ['10/24/2017', '05/28/2017']]",/Restaurant_Review-g187147-d12322231-Reviews-Cot_Cot-Paris_Ile_de_France.html,d12322231
2905,Amici Miei,Paris,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options']",2906,4,$$ - $$$,319,"[['So good we dined here twice!', 'Good Pasta and Sardinian specialties'], ['10/07/2017', '05/25/2017']]",/Restaurant_Review-g187147-d695269-Reviews-Amici_Miei-Paris_Ile_de_France.html,d695269
2906,La Confidente,Paris,['Vegetarian Friendly'],2907,4.5,$$ - $$$,40,"[['A good option', 'Confident that you will like La Confidente'], ['09/10/2017', '07/12/2017']]",/Restaurant_Review-g187147-d12072911-Reviews-La_Confidente-Paris_Ile_de_France.html,d12072911
2907,Tsukizi,Paris,"['Japanese', 'Sushi', 'Asian']",2908,4,$$ - $$$,134,"[['Small and friendly', 'Fresh & tasty'], ['03/22/2017', '11/22/2017']]",/Restaurant_Review-g187147-d719951-Reviews-Tsukizi-Paris_Ile_de_France.html,d719951
2908,La Piscine Saint Louis,Paris,"['French', 'Vegetarian Friendly']",2909,4,$$ - $$$,125,"[['Good coffee', 'Last minute dinner'], ['09/13/2017', '07/19/2017']]",/Restaurant_Review-g187147-d3749419-Reviews-La_Piscine_Saint_Louis-Paris_Ile_de_France.html,d3749419
2909,Vamos,Paris,"['Spanish', 'Wine Bar']",2910,4.5,$$ - $$$,39,"[['Best tapas experience in paris', 'Absolutely awesome tapas bar in the Republ...'], ['05/01/2017', '04/26/2017']]",/Restaurant_Review-g187147-d11837719-Reviews-Vamos-Paris_Ile_de_France.html,d11837719
2910,Nomos,Paris,"['French', 'European']",2911,4,$$$$,209,"[[""to visit if you're near Montmartre"", 'Super original cuisine and a lovely night...'], ['10/22/2017', '03/12/2017']]",/Restaurant_Review-g187147-d8487168-Reviews-Nomos-Paris_Ile_de_France.html,d8487168
2911,Casa Hugo,Paris,['Spanish'],2912,4.5,$$ - $$$,48,"[['Excellent food', 'Awesome food'], ['12/08/2017', '07/18/2017']]",/Restaurant_Review-g187147-d10816003-Reviews-Casa_Hugo-Paris_Ile_de_France.html,d10816003
2912,Le Vaudesir,Paris,"['French', 'Bar', 'Pub', 'Diner', 'Wine Bar']",2913,4.5,$,50,"[['Great food. Great service', 'Great food, vibe and soundtrack! Good valu...'], ['09/23/2017', '08/15/2017']]",/Restaurant_Review-g187147-d1324875-Reviews-Le_Vaudesir-Paris_Ile_de_France.html,d1324875
2913,Bistrot Melac,Paris,"['French', 'European', 'Wine Bar']",2914,4,$$ - $$$,153,"[['Nice, but it is no longer Melac', 'Great Expectations'], ['04/12/2017', '10/12/2017']]",/Restaurant_Review-g187147-d695191-Reviews-Bistrot_Melac-Paris_Ile_de_France.html,d695191
2914,Il Campionissimo,Paris,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly']",2915,3.5,$$ - $$$,402,"[['Lovely spot', 'Best pizza in Paris'], ['10/30/2017', '07/31/2016']]",/Restaurant_Review-g187147-d1835454-Reviews-Il_Campionissimo-Paris_Ile_de_France.html,d1835454
2915,Sheüs Cake,Paris,['Vegetarian Friendly'],2916,4.5,$$ - $$$,27,"[['Beautiful small place', 'Cute and tasty'], ['01/05/2018', '12/17/2017']]",/Restaurant_Review-g187147-d12321230-Reviews-She_s_Cake-Paris_Ile_de_France.html,d12321230
2916,Bistrot De I'Opera Comique,Paris,['French'],2917,4,$$ - $$$,86,"[['Very good restaurant', 'Nice atmosphere'], ['12/25/2017', '11/21/2017']]",/Restaurant_Review-g187147-d11612286-Reviews-Bistrot_De_I_Opera_Comique-Paris_Ile_de_France.html,d11612286
2917,La Grande Cremerie,Paris,"['French', 'Wine Bar', 'European', 'Spanish', 'Vegetarian Friendly']",2918,4.5,$$ - $$$,126,"[['Great wine bar', 'Friendly, fresh and contemporary cave with...'], ['11/28/2017', '08/29/2017']]",/Restaurant_Review-g187147-d4456757-Reviews-La_Grande_Cremerie-Paris_Ile_de_France.html,d4456757
2918,Volver Dauphine,Paris,"['Steakhouse', 'Latin', 'Argentinean', 'South American']",2919,4.5,$$ - $$$,95,"[['Great Meat!! Good argentinian experience!', 'wonderful'], ['10/18/2017', '03/19/2017']]",/Restaurant_Review-g187147-d6600438-Reviews-Volver_Dauphine-Paris_Ile_de_France.html,d6600438
2919,Siffleur de ballons,Paris,"['French', 'Wine Bar', 'European', 'Spanish']",2920,4,$$ - $$$,102,"[['Good for a wine and ninbles', 'Great selection of wine'], ['05/05/2017', '03/15/2017']]",/Restaurant_Review-g187147-d2070350-Reviews-Siffleur_de_ballons-Paris_Ile_de_France.html,d2070350
2920,La Casetta,Paris,"['Italian', 'Vegetarian Friendly']",2921,5,$$ - $$$,22,"[['A piece of Italy in Paris', 'This is really a small grocery'], ['07/23/2017', '10/01/2016']]",/Restaurant_Review-g187147-d10859640-Reviews-La_Casetta-Paris_Ile_de_France.html,d10859640
2921,La Cerise sur la Pizza - Belleville,Paris,"['Italian', 'Pizza', 'Vegetarian Friendly']",2922,4.5,$$ - $$$,103,"[['Good pizza!', 'Best pizza in Paris!'], ['09/24/2017', '08/05/2017']]",/Restaurant_Review-g187147-d3721618-Reviews-La_Cerise_sur_la_Pizza_Belleville-Paris_Ile_de_France.html,d3721618
2922,Mamo Paris,Paris,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",2923,4.5,$$$$,84,"[['Welcoming', 'Very tempting food'], ['12/20/2017', '04/22/2017']]",/Restaurant_Review-g187147-d10468590-Reviews-Mamo_Paris-Paris_Ile_de_France.html,d10468590
2923,Le Wok Saint Germain,Paris,"['Chinese', 'Asian', 'Thai', 'Vietnamese', 'Vegan Options', 'Halal', 'Vegetarian Friendly']",2924,4,$$ - $$$,181,"[['Not bad if you like Asian food', 'Summer in Paris 2017'], ['10/10/2017', '09/07/2017']]",/Restaurant_Review-g187147-d4424377-Reviews-Le_Wok_Saint_Germain-Paris_Ile_de_France.html,d4424377
2924,Pizze,Paris,"['Italian', 'Pizza', 'Vegetarian Friendly']",2925,4.5,$$ - $$$,143,"[['DELICIOUS Gluten Free Pizza!', 'Delicious Pizza'], ['02/15/2017', '12/23/2016']]",/Restaurant_Review-g187147-d7186344-Reviews-Pizze-Paris_Ile_de_France.html,d7186344
2925,Chez Prune,Paris,"['French', 'European', 'Vegetarian Friendly']",2926,4,$$ - $$$,352,"[['Nice place for brunch', 'Good lunch option on the canal'], ['08/27/2017', '08/14/2017']]",/Restaurant_Review-g187147-d714997-Reviews-Chez_Prune-Paris_Ile_de_France.html,d714997
2926,La Feria,Paris,"['Latin', 'Mediterranean', 'Spanish']",2927,4,$$ - $$$,184,"[['A piece of Spain in Paris', 'david'], ['07/02/2017', '08/12/2016']]",/Restaurant_Review-g187147-d783824-Reviews-La_Feria-Paris_Ile_de_France.html,d783824
2927,T'U,Paris,"['Asian', 'Thai', 'Vegetarian Friendly']",2928,4,$$$$,230,"[['Way overprice and poor service', 'Great thai restaurant'], ['10/13/2017', '10/02/2017']]",/Restaurant_Review-g187147-d719941-Reviews-T_U-Paris_Ile_de_France.html,d719941
2928,Nous Paradis,Paris,['Vegetarian Friendly'],2929,4.5,$$ - $$$,51,"[['Clean eating 100%', 'Stay away please'], ['06/17/2017', '04/24/2017']]",/Restaurant_Review-g187147-d7990468-Reviews-Nous_Paradis-Paris_Ile_de_France.html,d7990468
2929,La Sardegna,Paris,['Italian'],2930,4,$$ - $$$,57,"[['Superb !! A great eaterie', 'family diner'], ['01/10/2016', '06/30/2015']]",/Restaurant_Review-g187147-d1172233-Reviews-La_Sardegna-Paris_Ile_de_France.html,d1172233
2930,New hoa khoan,Paris,['Asian'],2931,4,$,90,"[['Bad experience, but still experience', 'I come here when I miss my Singapore ""Bak...'], ['12/17/2017', '07/20/2016']]",/Restaurant_Review-g187147-d790476-Reviews-New_hoa_khoan-Paris_Ile_de_France.html,d790476
2931,Le Petit Marcel Burger,Paris,,2932,4.5,,42,"[['Dinner', 'Great burger lovely patron'], ['01/06/2017', '01/05/2017']]",/Restaurant_Review-g187147-d7220747-Reviews-Le_Petit_Marcel_Burger-Paris_Ile_de_France.html,d7220747
2932,Levain Le Vin,Paris,['French'],2933,5,$$ - $$$,20,"[['Wine bread cheese meat', 'Great little wine and cheese'], ['11/02/2017', '09/06/2017']]",/Restaurant_Review-g187147-d11865028-Reviews-Levain_Le_Vin-Paris_Ile_de_France.html,d11865028
2933,Delices Lepic,Paris,"['Chinese', 'Asian']",2934,4,$,64,"[['Fresh, steamy noodles that hit the spot', 'Fast & cheap'], ['12/27/2017', '11/13/2017']]",/Restaurant_Review-g187147-d2202987-Reviews-Delices_Lepic-Paris_Ile_de_France.html,d2202987
2934,MEIWENTI,Paris,"['Asian', 'Thai', 'Vegetarian Friendly']",2935,4.5,$,76,"[['Greatest Thai restaurant', 'Good value and delicious'], ['02/14/2017', '10/27/2016']]",/Restaurant_Review-g187147-d3257645-Reviews-MEIWENTI-Paris_Ile_de_France.html,d3257645
2935,La Nouvelle Etoile,Paris,['French'],2936,4.5,$$ - $$$,71,"[['Worth more than one visit', '-'], ['09/25/2016', '07/15/2016']]",/Restaurant_Review-g187147-d5799414-Reviews-La_Nouvelle_Etoile-Paris_Ile_de_France.html,d5799414
2936,Gusto Italia,Paris,"['Italian', 'European', 'Mediterranean']",2937,4.5,$$ - $$$,53,"[['Very nice, small italian restaurant with e...', 'Great pizza in nice area of Paris'], ['10/05/2017', '06/30/2017']]",/Restaurant_Review-g187147-d8510311-Reviews-Gusto_Italia-Paris_Ile_de_France.html,d8510311
2937,Terra Nera,Paris,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",2938,4,$$ - $$$,150,"[['Italian Holiday in Paris', 'Genuine italian'], ['11/16/2017', '10/25/2017']]",/Restaurant_Review-g187147-d5267551-Reviews-Terra_Nera-Paris_Ile_de_France.html,d5267551
2938,Gemini Les Halles,Paris,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly']",2939,4,$$ - $$$,136,"[['Good food, service a little slow but frien...', 'Another unexpected delightful dinner!'], ['08/30/2017', '11/19/2017']]",/Restaurant_Review-g187147-d9996090-Reviews-Gemini_Les_Halles-Paris_Ile_de_France.html,d9996090
2939,Chez Georges,Paris,"['French', 'Wine Bar']",2940,4.5,$,98,"[['My favorite bar', 'An opportunity to experience a french happ...'], ['11/13/2017', '10/04/2017']]",/Restaurant_Review-g187147-d938779-Reviews-Chez_Georges-Paris_Ile_de_France.html,d938779
2940,Maison Sauvage,Paris,"['French', 'European', 'Vegetarian Friendly']",2941,4,$$ - $$$,56,"[['Delightful and fun.', 'Prime patio option'], ['10/27/2017', '10/11/2017']]",/Restaurant_Review-g187147-d12535164-Reviews-Maison_Sauvage-Paris_Ile_de_France.html,d12535164
2941,Glozaria,Paris,"['Brazilian', 'Latin', 'European', 'Portuguese']",2942,4,$$ - $$$,128,"[['Lovely Brazilian meal in St Germain', 'Not a typical Brasilian restaurant'], ['06/03/2017', '11/14/2017']]",/Restaurant_Review-g187147-d8803028-Reviews-Glozaria-Paris_Ile_de_France.html,d8803028
2942,Cafe Odilon,Paris,,2943,4.5,,33,"[[], []]",/Restaurant_Review-g187147-d10726991-Reviews-Cafe_Odilon-Paris_Ile_de_France.html,d10726991
